i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,22.0,0.534,0.50,0.70,0.39711,0.323,0.30,0.35,8.7379,6.0000,10.0000,0.06402,0.00,0.10,FuuA,112.47748,226.24140,11.24775,He3,pi-
1,22.0,0.545,0.50,0.70,0.37727,0.323,0.30,0.35,8.4548,6.0000,10.0000,0.14683,0.10,0.20,FuuA,103.40707,130.23566,10.34071,He3,pi-
2,22.0,0.552,0.50,0.70,0.36587,0.323,0.30,0.35,8.3047,6.0000,10.0000,0.25030,0.20,0.30,FuuA,81.80320,99.62502,8.18032,He3,pi-
3,22.0,0.557,0.50,0.70,0.36037,0.324,0.30,0.35,8.2505,6.0000,10.0000,0.35285,0.30,0.40,FuuA,56.85865,129.55398,5.68586,He3,pi-
4,22.0,0.556,0.50,0.70,0.36222,0.324,0.30,0.35,8.2779,6.0000,10.0000,0.48161,0.40,0.60,FuuA,31.52503,128.67039,3.15250,He3,pi-
5,22.0,0.545,0.50,0.70,0.37154,0.325,0.30,0.35,8.3393,6.0000,10.0000,0.69360,0.60,0.80,FuuA,7.93792,238.31280,0.79379,He3,pi-
6,22.0,0.534,0.50,0.70,0.39626,0.373,0.35,0.40,8.7221,6.0000,10.0000,0.08277,0.00,0.10,FuuA,68.57632,223.51560,6.85763,He3,pi-
7,22.0,0.544,0.50,0.70,0.37690,0.373,0.35,0.40,8.4462,6.0000,10.0000,0.17144,0.10,0.20,FuuA,62.21580,158.16532,6.22158,He3,pi-
8,22.0,0.550,0.50,0.70,0.36833,0.373,0.35,0.40,8.3372,6.0000,10.0000,0.24977,0.20,0.30,FuuA,52.47731,158.17826,5.24773,He3,pi-
9,22.0,0.554,0.50,0.70,0.36317,0.374,0.35,0.40,8.2716,6.0000,10.0000,0.34073,0.30,0.40,FuuA,39.96152,129.18986,3.99615,He3,pi-
10,22.0,0.555,0.50,0.70,0.36195,0.374,0.35,0.40,8.2686,6.0000,10.0000,0.50216,0.40,0.60,FuuA,20.46534,129.34564,2.04653,He3,pi-
11,22.0,0.539,0.50,0.70,0.37851,0.375,0.35,0.40,8.4086,6.0000,10.0000,0.76604,0.60,0.80,FuuA,3.89608,359.80560,0.38961,He3,pi-
12,22.0,0.532,0.50,0.70,0.39972,0.442,0.40,0.50,8.7773,6.0000,10.0000,0.08224,0.00,0.10,FuuA,35.90446,223.51560,3.59045,He3,pi-
13,22.0,0.541,0.50,0.70,0.38251,0.442,0.40,0.50,8.5202,6.0000,10.0000,0.17022,0.10,0.20,FuuA,33.35364,158.46224,3.33536,He3,pi-
