i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.267,0.25,0.50,0.33491,0.349,0.30,0.40,1.8451,1.5000,2.0000,0.07463,0.00,0.10,FuuA,4058.39062,86.58066,405.83906,He3,pi-
1,11,0.270,0.25,0.50,0.33032,0.344,0.30,0.40,1.8401,1.5000,2.0000,0.15399,0.10,0.20,FuuA,3832.08455,54.41653,383.20845,He3,pi-
2,11,0.270,0.25,0.50,0.33030,0.349,0.30,0.40,1.8407,1.5000,2.0000,0.25778,0.20,0.30,FuuA,2937.13366,61.62620,293.71337,He3,pi-
3,11,0.270,0.25,0.50,0.33043,0.341,0.30,0.40,1.8400,1.5000,2.0000,0.36450,0.30,0.40,FuuA,2173.50010,71.33846,217.35001,He3,pi-
4,11,0.270,0.25,0.50,0.33153,0.349,0.30,0.40,1.8416,1.5000,2.0000,0.51572,0.40,0.60,FuuA,1036.67258,61.80322,103.66726,He3,pi-
5,11,0.265,0.25,0.50,0.34837,0.338,0.30,0.40,1.8997,1.5000,2.0000,0.63253,0.60,0.80,FuuA,468.95256,462.60720,46.89526,He3,pi-
6,11,0.268,0.25,0.50,0.33278,0.440,0.40,0.50,1.8414,1.5000,2.0000,0.13364,0.10,0.20,FuuA,1790.56924,70.92469,179.05692,He3,pi-
7,11,0.271,0.25,0.50,0.32978,0.449,0.40,0.50,1.8387,1.5000,2.0000,0.22468,0.20,0.30,FuuA,1452.66836,87.42247,145.26684,He3,pi-
8,11,0.271,0.25,0.50,0.32994,0.450,0.40,0.50,1.8401,1.5000,2.0000,0.30541,0.30,0.40,FuuA,1203.69032,87.38345,120.36903,He3,pi-
9,11,0.269,0.25,0.50,0.33262,0.444,0.40,0.50,1.8430,1.5000,2.0000,0.47673,0.40,0.60,FuuA,716.09263,66.79701,71.60926,He3,pi-
10,11,0.256,0.25,0.50,0.36554,0.424,0.40,0.50,1.9327,1.5000,2.0000,0.72370,0.60,0.80,FuuA,184.59399,753.09960,18.45940,He3,pi-
11,11,0.268,0.25,0.50,0.33296,0.548,0.50,0.60,1.8412,1.5000,2.0000,0.16565,0.10,0.20,FuuA,757.18842,86.73311,75.71884,He3,pi-
12,11,0.271,0.25,0.50,0.32981,0.524,0.50,0.60,1.8395,1.5000,2.0000,0.27153,0.20,0.30,FuuA,755.12477,120.71400,75.51248,He3,pi-
13,11,0.266,0.25,0.50,0.33742,0.571,0.50,0.60,1.8519,1.5000,2.0000,0.36135,0.30,0.40,FuuA,442.05193,128.89140,44.20519,He3,pi-
14,11,0.268,0.25,0.50,0.33329,0.523,0.50,0.60,1.8445,1.5000,2.0000,0.42333,0.40,0.60,FuuA,518.15762,123.43980,51.81576,He3,pi-
15,11,0.259,0.25,0.50,0.35819,0.520,0.50,0.60,1.9109,1.5000,2.0000,0.60936,0.60,0.80,FuuA,243.28532,466.11180,24.32853,He3,pi-
