i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,22.0,0.535,0.50,0.70,0.39493,0.323,0.30,0.35,8.7085,6.0000,10.0000,0.07304,0.00,0.10,FuuA,170.21667,158.31828,17.02167,He3,pi+
1,22.0,0.546,0.50,0.70,0.37485,0.323,0.30,0.35,8.4265,6.0000,10.0000,0.16058,0.10,0.20,FuuA,154.03944,99.79901,15.40394,He3,pi+
2,22.0,0.552,0.50,0.70,0.36596,0.324,0.30,0.35,8.3113,6.0000,10.0000,0.25239,0.20,0.30,FuuA,124.37152,90.74415,12.43715,He3,pi+
3,22.0,0.556,0.50,0.70,0.36088,0.324,0.30,0.35,8.2561,6.0000,10.0000,0.34342,0.30,0.40,FuuA,90.81357,100.43403,9.08136,He3,pi+
4,22.0,0.556,0.50,0.70,0.36260,0.325,0.30,0.35,8.2867,6.0000,10.0000,0.47747,0.40,0.60,FuuA,49.60330,100.08658,4.96033,He3,pi+
5,22.0,0.548,0.50,0.70,0.36765,0.325,0.30,0.35,8.3012,6.0000,10.0000,0.65871,0.60,0.80,FuuA,15.78322,223.51560,1.57832,He3,pi+
6,22.0,0.535,0.50,0.70,0.38434,0.325,0.30,0.35,8.4752,6.0000,10.0000,0.81482,0.80,1.60,FuuA,4.44117,396.40920,0.44412,He3,pi+
7,22.0,0.532,0.50,0.70,0.40007,0.373,0.35,0.40,8.7852,6.0000,10.0000,0.06536,0.00,0.10,FuuA,110.65976,222.34740,11.06598,He3,pi+
8,22.0,0.542,0.50,0.70,0.38102,0.373,0.35,0.40,8.5063,6.0000,10.0000,0.14937,0.10,0.20,FuuA,103.52694,129.11926,10.35269,He3,pi+
9,22.0,0.550,0.50,0.70,0.36856,0.373,0.35,0.40,8.3432,6.0000,10.0000,0.24869,0.20,0.30,FuuA,84.82449,100.23248,8.48245,He3,pi+
10,22.0,0.554,0.50,0.70,0.36260,0.374,0.35,0.40,8.2668,6.0000,10.0000,0.34916,0.30,0.40,FuuA,62.71096,112.27153,6.27110,He3,pi+
11,22.0,0.557,0.50,0.70,0.36106,0.375,0.35,0.40,8.2706,6.0000,10.0000,0.46939,0.40,0.60,FuuA,37.78463,113.16127,3.77846,He3,pi+
12,22.0,0.547,0.50,0.70,0.37069,0.375,0.35,0.40,8.3428,6.0000,10.0000,0.67198,0.60,0.80,FuuA,13.11087,172.36092,1.31109,He3,pi+
13,22.0,0.531,0.50,0.70,0.40315,0.443,0.40,0.50,8.8383,6.0000,10.0000,0.06257,0.00,0.10,FuuA,61.48274,223.12620,6.14827,He3,pi+
14,22.0,0.540,0.50,0.70,0.38473,0.443,0.40,0.50,8.5550,6.0000,10.0000,0.15687,0.10,0.20,FuuA,58.19925,111.70597,5.81992,He3,pi+
15,22.0,0.549,0.50,0.70,0.37089,0.444,0.40,0.50,8.3708,6.0000,10.0000,0.25378,0.20,0.30,FuuA,49.09133,101.13455,4.90913,He3,pi+
16,22.0,0.552,0.50,0.70,0.36581,0.445,0.40,0.50,8.3060,6.0000,10.0000,0.34423,0.30,0.40,FuuA,38.73172,99.48276,3.87317,He3,pi+
17,22.0,0.555,0.50,0.70,0.36192,0.447,0.40,0.50,8.2598,6.0000,10.0000,0.47259,0.40,0.60,FuuA,24.65684,84.24187,2.46568,He3,pi+
18,22.0,0.545,0.50,0.70,0.37051,0.448,0.40,0.50,8.3227,6.0000,10.0000,0.64787,0.60,0.80,FuuA,11.04606,159.78776,1.10461,He3,pi+
19,22.0,0.532,0.50,0.70,0.39004,0.449,0.40,0.50,8.5553,6.0000,10.0000,0.82300,0.80,1.60,FuuA,3.65973,282.31500,0.36597,He3,pi+
20,22.0,0.532,0.50,0.70,0.40162,0.543,0.50,0.60,8.8140,6.0000,10.0000,0.09333,0.00,0.10,FuuA,27.67463,223.51560,2.76746,He3,pi+
21,22.0,0.537,0.50,0.70,0.38865,0.544,0.50,0.60,8.6025,6.0000,10.0000,0.16890,0.10,0.20,FuuA,26.80383,224.29440,2.68038,He3,pi+
22,22.0,0.545,0.50,0.70,0.37615,0.544,0.50,0.60,8.4310,6.0000,10.0000,0.25745,0.20,0.30,FuuA,23.69829,129.33981,2.36983,He3,pi+
23,22.0,0.548,0.50,0.70,0.37037,0.544,0.50,0.60,8.3469,6.0000,10.0000,0.34839,0.30,0.40,FuuA,19.84410,159.55935,1.98441,He3,pi+
24,22.0,0.545,0.50,0.70,0.37034,0.545,0.50,0.60,8.3113,6.0000,10.0000,0.48697,0.40,0.60,FuuA,13.78874,100.51586,1.37887,He3,pi+
25,22.0,0.534,0.50,0.70,0.38561,0.545,0.50,0.60,8.4895,6.0000,10.0000,0.69331,0.60,0.80,FuuA,6.01129,227.79900,0.60113,He3,pi+
26,22.0,0.523,0.50,0.70,0.41460,0.543,0.50,0.60,8.9428,6.0000,10.0000,0.86743,0.80,1.60,FuuA,2.20382,477.01500,0.22038,He3,pi+
27,22.0,0.532,0.50,0.70,0.39867,0.643,0.60,0.70,8.7497,6.0000,10.0000,0.13587,0.10,0.20,FuuA,13.08315,225.07320,1.30832,He3,pi+
28,22.0,0.536,0.50,0.70,0.38616,0.642,0.60,0.70,8.5270,6.0000,10.0000,0.24956,0.20,0.30,FuuA,12.35681,224.68380,1.23568,He3,pi+
29,22.0,0.535,0.50,0.70,0.38417,0.641,0.60,0.70,8.4791,6.0000,10.0000,0.33427,0.30,0.40,FuuA,11.06429,225.07320,1.10643,He3,pi+
30,22.0,0.531,0.50,0.70,0.38968,0.639,0.60,0.70,8.5448,6.0000,10.0000,0.47437,0.40,0.60,FuuA,8.20045,159.40830,0.82004,He3,pi+
31,22.0,0.523,0.50,0.70,0.41398,0.636,0.60,0.70,8.9292,6.0000,10.0000,0.68918,0.60,0.80,FuuA,3.88827,317.36100,0.38883,He3,pi+
32,22.0,0.576,0.50,0.70,0.52327,0.323,0.30,0.35,12.4108,10.0000,20.0000,0.06835,0.00,0.10,FuuA,53.00167,129.15898,5.30017,He3,pi+
33,22.0,0.574,0.50,0.70,0.53027,0.323,0.30,0.35,12.5325,10.0000,20.0000,0.15301,0.10,0.20,FuuA,46.90774,87.05315,4.69077,He3,pi+
