i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,22.0,0.298,0.25,0.50,0.45975,0.323,0.30,0.35,5.6171,4.0000,6.0000,0.06445,0.00,0.10,FuuA,1124.61506,91.37393,112.46151,He3,pi+
1,22.0,0.297,0.25,0.50,0.46300,0.323,0.30,0.35,5.6223,4.0000,6.0000,0.15208,0.10,0.20,FuuA,1007.74059,57.44465,100.77406,He3,pi+
2,22.0,0.290,0.25,0.50,0.47122,0.324,0.30,0.35,5.6033,4.0000,6.0000,0.24886,0.20,0.30,FuuA,823.21474,52.38216,82.32147,He3,pi+
3,22.0,0.285,0.25,0.50,0.47897,0.324,0.30,0.35,5.5929,4.0000,6.0000,0.34532,0.30,0.40,FuuA,602.35202,55.54876,60.23520,He3,pi+
4,22.0,0.283,0.25,0.50,0.48317,0.325,0.30,0.35,5.6062,4.0000,6.0000,0.47669,0.40,0.60,FuuA,332.72288,54.48328,33.27229,He3,pi+
5,22.0,0.285,0.25,0.50,0.48019,0.325,0.30,0.35,5.6068,4.0000,6.0000,0.67661,0.60,0.80,FuuA,95.24703,100.10973,9.52470,He3,pi+
6,22.0,0.287,0.25,0.50,0.47751,0.325,0.30,0.35,5.6033,4.0000,6.0000,0.92144,0.80,1.60,FuuA,9.76984,234.41880,0.97698,He3,pi+
7,22.0,0.299,0.25,0.50,0.45944,0.373,0.35,0.40,5.6165,4.0000,6.0000,0.06527,0.00,0.10,FuuA,737.34785,111.34012,73.73479,He3,pi+
8,22.0,0.298,0.25,0.50,0.46179,0.373,0.35,0.40,5.6251,4.0000,6.0000,0.15243,0.10,0.20,FuuA,666.36639,70.23302,66.63664,He3,pi+
9,22.0,0.293,0.25,0.50,0.46833,0.374,0.35,0.40,5.6105,4.0000,6.0000,0.24993,0.20,0.30,FuuA,553.85226,61.72539,55.38523,He3,pi+
10,22.0,0.287,0.25,0.50,0.47567,0.374,0.35,0.40,5.5952,4.0000,6.0000,0.34681,0.30,0.40,FuuA,419.59414,64.95000,41.95941,He3,pi+
11,22.0,0.283,0.25,0.50,0.48237,0.374,0.35,0.40,5.6003,4.0000,6.0000,0.47992,0.40,0.60,FuuA,245.26961,57.76750,24.52696,He3,pi+
12,22.0,0.285,0.25,0.50,0.48147,0.375,0.35,0.40,5.6096,4.0000,6.0000,0.68833,0.60,0.80,FuuA,75.50764,100.45616,7.55076,He3,pi+
13,22.0,0.286,0.25,0.50,0.47880,0.376,0.35,0.40,5.6067,4.0000,6.0000,0.96055,0.80,1.60,FuuA,7.33311,258.56160,0.73331,He3,pi+
14,22.0,0.298,0.25,0.50,0.45948,0.443,0.40,0.50,5.6122,4.0000,6.0000,0.06780,0.00,0.10,FuuA,417.41432,100.71165,41.74143,He3,pi+
15,22.0,0.298,0.25,0.50,0.46079,0.444,0.40,0.50,5.6246,4.0000,6.0000,0.15648,0.10,0.20,FuuA,378.90767,64.44694,37.89077,He3,pi+
16,22.0,0.295,0.25,0.50,0.46534,0.444,0.40,0.50,5.6167,4.0000,6.0000,0.25179,0.20,0.30,FuuA,322.24740,57.62120,32.22474,He3,pi+
17,22.0,0.290,0.25,0.50,0.47175,0.445,0.40,0.50,5.6011,4.0000,6.0000,0.34880,0.30,0.40,FuuA,253.71276,55.82388,25.37128,He3,pi+
18,22.0,0.285,0.25,0.50,0.47942,0.447,0.40,0.50,5.5938,4.0000,6.0000,0.48551,0.40,0.60,FuuA,157.51086,47.61856,15.75109,He3,pi+
19,22.0,0.283,0.25,0.50,0.48310,0.449,0.40,0.50,5.6078,4.0000,6.0000,0.67568,0.60,0.80,FuuA,61.89593,74.72583,6.18959,He3,pi+
20,22.0,0.285,0.25,0.50,0.48031,0.452,0.40,0.50,5.6060,4.0000,6.0000,0.92320,0.80,1.60,FuuA,13.64334,134.92397,1.36433,He3,pi+
21,22.0,0.298,0.25,0.50,0.45973,0.544,0.50,0.60,5.6087,4.0000,6.0000,0.06309,0.00,0.10,FuuA,193.40800,157.35651,19.34080,He3,pi+
22,22.0,0.299,0.25,0.50,0.46025,0.544,0.50,0.60,5.6232,4.0000,6.0000,0.15139,0.10,0.20,FuuA,179.32047,92.11823,17.93205,He3,pi+
23,22.0,0.297,0.25,0.50,0.46279,0.545,0.50,0.60,5.6231,4.0000,6.0000,0.24908,0.20,0.30,FuuA,156.89776,80.01381,15.68978,He3,pi+
24,22.0,0.293,0.25,0.50,0.46769,0.545,0.50,0.60,5.6112,4.0000,6.0000,0.34928,0.30,0.40,FuuA,128.93409,74.84835,12.89341,He3,pi+
25,22.0,0.287,0.25,0.50,0.47513,0.546,0.50,0.60,5.5951,4.0000,6.0000,0.49225,0.40,0.60,FuuA,86.76026,59.84900,8.67603,He3,pi+
26,22.0,0.283,0.25,0.50,0.48226,0.548,0.50,0.60,5.5977,4.0000,6.0000,0.67478,0.60,0.80,FuuA,42.20556,84.24517,4.22056,He3,pi+
27,22.0,0.284,0.25,0.50,0.48265,0.551,0.50,0.60,5.6077,4.0000,6.0000,0.91886,0.80,1.60,FuuA,13.09516,115.45675,1.30952,He3,pi+
28,22.0,0.298,0.25,0.50,0.45965,0.644,0.60,0.70,5.6043,4.0000,6.0000,0.06313,0.00,0.10,FuuA,93.42574,226.24140,9.34257,He3,pi+
29,22.0,0.299,0.25,0.50,0.45961,0.644,0.60,0.70,5.6199,4.0000,6.0000,0.15129,0.10,0.20,FuuA,87.60367,131.11966,8.76037,He3,pi+
30,22.0,0.298,0.25,0.50,0.46119,0.644,0.60,0.70,5.6233,4.0000,6.0000,0.24914,0.20,0.30,FuuA,78.39457,111.16266,7.83946,He3,pi+
31,22.0,0.295,0.25,0.50,0.46480,0.645,0.60,0.70,5.6174,4.0000,6.0000,0.35138,0.30,0.40,FuuA,66.47084,100.41817,6.64708,He3,pi+
32,22.0,0.290,0.25,0.50,0.47131,0.645,0.60,0.70,5.6016,4.0000,6.0000,0.49311,0.40,0.60,FuuA,48.44291,79.60261,4.84429,He3,pi+
33,22.0,0.285,0.25,0.50,0.47889,0.647,0.60,0.70,5.5904,4.0000,6.0000,0.68064,0.60,0.80,FuuA,26.87765,91.86857,2.68776,He3,pi+
34,22.0,0.282,0.25,0.50,0.48471,0.649,0.60,0.70,5.6005,4.0000,6.0000,0.94830,0.80,1.60,FuuA,9.12204,120.34693,0.91220,He3,pi+
35,22.0,0.385,0.25,0.50,0.47063,0.323,0.30,0.35,7.3922,6.0000,10.0000,0.06570,0.00,0.10,FuuA,471.83982,49.63191,47.18398,He3,pi+
36,22.0,0.375,0.25,0.50,0.48732,0.323,0.30,0.35,7.4310,6.0000,10.0000,0.15376,0.10,0.20,FuuA,424.78718,30.58622,42.47872,He3,pi+
37,22.0,0.361,0.25,0.50,0.51230,0.323,0.30,0.35,7.4826,6.0000,10.0000,0.25099,0.20,0.30,FuuA,343.76061,27.48757,34.37606,He3,pi+
38,22.0,0.347,0.25,0.50,0.53763,0.324,0.30,0.35,7.5417,6.0000,10.0000,0.34877,0.30,0.40,FuuA,249.26366,28.73773,24.92637,He3,pi+
39,22.0,0.334,0.25,0.50,0.56461,0.324,0.30,0.35,7.6274,6.0000,10.0000,0.48631,0.40,0.60,FuuA,132.90777,25.11979,13.29078,He3,pi+
40,22.0,0.327,0.25,0.50,0.58653,0.325,0.30,0.35,7.7234,6.0000,10.0000,0.67692,0.60,0.80,FuuA,38.38086,44.58609,3.83809,He3,pi+
41,22.0,0.327,0.25,0.50,0.58993,0.325,0.30,0.35,7.7493,6.0000,10.0000,0.89521,0.80,1.60,FuuA,6.57859,91.36087,0.65786,He3,pi+
42,22.0,0.385,0.25,0.50,0.46958,0.373,0.35,0.40,7.3892,6.0000,10.0000,0.06555,0.00,0.10,FuuA,307.80848,61.40326,30.78085,He3,pi+
43,22.0,0.378,0.25,0.50,0.48249,0.373,0.35,0.40,7.4153,6.0000,10.0000,0.15392,0.10,0.20,FuuA,280.46033,37.22645,28.04603,He3,pi+
44,22.0,0.366,0.25,0.50,0.50302,0.374,0.35,0.40,7.4615,6.0000,10.0000,0.25144,0.20,0.30,FuuA,231.18537,32.98412,23.11854,He3,pi+
45,22.0,0.353,0.25,0.50,0.52603,0.374,0.35,0.40,7.5106,6.0000,10.0000,0.34881,0.30,0.40,FuuA,173.85788,33.81779,17.38579,He3,pi+
46,22.0,0.339,0.25,0.50,0.55321,0.374,0.35,0.40,7.5854,6.0000,10.0000,0.48728,0.40,0.60,FuuA,98.95895,28.39519,9.89590,He3,pi+
47,22.0,0.329,0.25,0.50,0.57867,0.375,0.35,0.40,7.6803,6.0000,10.0000,0.67907,0.60,0.80,FuuA,32.48724,45.51438,3.24872,He3,pi+
48,22.0,0.326,0.25,0.50,0.59067,0.376,0.35,0.40,7.7461,6.0000,10.0000,0.90647,0.80,1.60,FuuA,6.19557,88.12435,0.61956,He3,pi+
49,22.0,0.386,0.25,0.50,0.46856,0.444,0.40,0.50,7.3830,6.0000,10.0000,0.06667,0.00,0.10,FuuA,172.86083,57.27469,17.28608,He3,pi+
50,22.0,0.380,0.25,0.50,0.47840,0.444,0.40,0.50,7.4063,6.0000,10.0000,0.15446,0.10,0.20,FuuA,159.12687,35.19843,15.91269,He3,pi+
51,22.0,0.371,0.25,0.50,0.49438,0.444,0.40,0.50,7.4407,6.0000,10.0000,0.25119,0.20,0.30,FuuA,134.87672,30.21032,13.48767,He3,pi+
52,22.0,0.360,0.25,0.50,0.51345,0.445,0.40,0.50,7.4797,6.0000,10.0000,0.34932,0.30,0.40,FuuA,105.22516,29.88206,10.52252,He3,pi+
53,22.0,0.346,0.25,0.50,0.53935,0.446,0.40,0.50,7.5407,6.0000,10.0000,0.49111,0.40,0.60,FuuA,64.10025,24.16571,6.41002,He3,pi+
54,22.0,0.334,0.25,0.50,0.56641,0.448,0.40,0.50,7.6280,6.0000,10.0000,0.68516,0.60,0.80,FuuA,24.36653,35.18376,2.43665,He3,pi+
55,22.0,0.326,0.25,0.50,0.58609,0.451,0.40,0.50,7.7149,6.0000,10.0000,0.92340,0.80,1.60,FuuA,5.60741,58.17359,0.56074,He3,pi+
56,22.0,0.386,0.25,0.50,0.46763,0.544,0.50,0.60,7.3747,6.0000,10.0000,0.06678,0.00,0.10,FuuA,79.48303,83.81849,7.94830,He3,pi+
57,22.0,0.382,0.25,0.50,0.47455,0.544,0.50,0.60,7.3901,6.0000,10.0000,0.15457,0.10,0.20,FuuA,74.43017,51.06647,7.44302,He3,pi+
58,22.0,0.375,0.25,0.50,0.48602,0.544,0.50,0.60,7.4178,6.0000,10.0000,0.25184,0.20,0.30,FuuA,65.04384,42.73956,6.50438,He3,pi+
59,22.0,0.367,0.25,0.50,0.50060,0.545,0.50,0.60,7.4493,6.0000,10.0000,0.35098,0.30,0.40,FuuA,53.09494,40.85049,5.30949,He3,pi+
60,22.0,0.354,0.25,0.50,0.52351,0.546,0.50,0.60,7.4966,6.0000,10.0000,0.49415,0.40,0.60,FuuA,35.49920,31.55051,3.54992,He3,pi+
61,22.0,0.340,0.25,0.50,0.55009,0.547,0.50,0.60,7.5672,6.0000,10.0000,0.68784,0.60,0.80,FuuA,16.47752,40.89387,1.64775,He3,pi+
62,22.0,0.328,0.25,0.50,0.57858,0.550,0.50,0.60,7.6691,6.0000,10.0000,0.94515,0.80,1.60,FuuA,4.65820,55.56679,0.46582,He3,pi+
63,22.0,0.386,0.25,0.50,0.46720,0.644,0.60,0.70,7.3744,6.0000,10.0000,0.06263,0.00,0.10,FuuA,37.88929,129.86866,3.78893,He3,pi+
64,22.0,0.383,0.25,0.50,0.47195,0.644,0.60,0.70,7.3802,6.0000,10.0000,0.15433,0.10,0.20,FuuA,35.94373,70.38314,3.59437,He3,pi+
65,22.0,0.378,0.25,0.50,0.48073,0.644,0.60,0.70,7.4004,6.0000,10.0000,0.25232,0.20,0.30,FuuA,32.24575,61.97703,3.22458,He3,pi+
66,22.0,0.372,0.25,0.50,0.49184,0.645,0.60,0.70,7.4251,6.0000,10.0000,0.34970,0.30,0.40,FuuA,27.43885,55.83051,2.74389,He3,pi+
67,22.0,0.360,0.25,0.50,0.51178,0.645,0.60,0.70,7.4681,6.0000,10.0000,0.49782,0.40,0.60,FuuA,19.54849,40.84634,1.95485,He3,pi+
68,22.0,0.345,0.25,0.50,0.53892,0.646,0.60,0.70,7.5342,6.0000,10.0000,0.69042,0.60,0.80,FuuA,10.55804,51.21709,1.05580,He3,pi+
69,22.0,0.326,0.25,0.50,0.57664,0.648,0.60,0.70,7.6415,6.0000,10.0000,0.96245,0.80,1.60,FuuA,3.62237,57.53777,0.36224,He3,pi+
70,22.0,0.455,0.25,0.50,0.58228,0.323,0.30,0.35,10.9000,10.0000,20.0000,0.07056,0.00,0.10,FuuA,137.71646,159.34680,13.77165,He3,pi+
71,22.0,0.449,0.25,0.50,0.59865,0.323,0.30,0.35,11.0555,10.0000,20.0000,0.15936,0.10,0.20,FuuA,120.87668,100.66661,12.08767,He3,pi+
72,22.0,0.440,0.25,0.50,0.62563,0.323,0.30,0.35,11.3105,10.0000,20.0000,0.25539,0.20,0.30,FuuA,94.08953,80.65595,9.40895,He3,pi+
73,22.0,0.428,0.25,0.50,0.65694,0.323,0.30,0.35,11.5181,10.0000,20.0000,0.35278,0.30,0.40,FuuA,66.98347,72.85378,6.69835,He3,pi+
74,22.0,0.412,0.25,0.50,0.69213,0.324,0.30,0.35,11.6718,10.0000,20.0000,0.49110,0.40,0.60,FuuA,36.07584,57.15522,3.60758,He3,pi+
