i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.354,0.25,0.70,0.54892,0.330,0.30,0.40,3.9995,3.0000,8.0000,0.12228,0.00,0.20,FuuA,203.33551,97.73341,30.50033,He3,K-
1,11,0.351,0.25,0.70,0.55652,0.331,0.30,0.40,4.0032,3.0000,8.0000,0.28969,0.20,0.40,FuuA,138.35369,97.09692,20.75305,He3,K-
2,11,0.350,0.25,0.70,0.55714,0.331,0.30,0.40,4.0039,3.0000,8.0000,0.48787,0.40,0.60,FuuA,61.34723,140.44789,9.20208,He3,K-
3,11,0.327,0.25,0.70,0.57516,0.333,0.30,0.40,3.8691,3.0000,8.0000,0.68677,0.60,1.60,FuuA,19.87088,216.75889,2.98063,He3,K-
4,11,0.341,0.25,0.70,0.55190,0.500,0.40,0.60,3.8688,3.0000,8.0000,0.12986,0.00,0.20,FuuA,154.82858,136.03346,23.22429,He3,K-
5,11,0.340,0.25,0.70,0.55929,0.505,0.40,0.60,3.8977,3.0000,8.0000,0.29234,0.20,0.40,FuuA,112.02324,114.59026,16.80349,He3,K-
6,11,0.332,0.25,0.70,0.57088,0.511,0.40,0.60,3.8935,3.0000,8.0000,0.48482,0.40,0.60,FuuA,64.48273,152.06687,9.67241,He3,K-
7,11,0.314,0.25,0.70,0.59022,0.508,0.40,0.60,3.8192,3.0000,8.0000,0.73070,0.60,1.60,FuuA,23.58375,217.13161,3.53756,He3,K-
