i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.365,0.25,0.70,0.55174,0.350,0.30,0.40,4.1415,3.0000,8.0000,0.12459,0.00,0.20,FuuA,199.67789,40.02861,29.95168,He3,K+
1,11,0.360,0.25,0.70,0.55570,0.352,0.30,0.40,4.1020,3.0000,8.0000,0.28983,0.20,0.40,FuuA,140.87941,39.35668,21.13191,He3,K+
2,11,0.357,0.25,0.70,0.55782,0.353,0.30,0.40,4.0845,3.0000,8.0000,0.48535,0.40,0.60,FuuA,66.05464,56.39762,9.90820,He3,K+
3,11,0.340,0.25,0.70,0.58153,0.353,0.30,0.40,4.0859,3.0000,8.0000,0.69867,0.60,1.60,FuuA,19.35045,85.93968,2.90257,He3,K+
4,11,0.360,0.25,0.70,0.55026,0.491,0.40,0.60,4.0908,3.0000,8.0000,0.12752,0.00,0.20,FuuA,142.10821,32.88536,21.31623,He3,K+
5,11,0.359,0.25,0.70,0.55279,0.496,0.40,0.60,4.0701,3.0000,8.0000,0.29284,0.20,0.40,FuuA,104.94646,27.08097,15.74197,He3,K+
6,11,0.349,0.25,0.70,0.56797,0.497,0.40,0.60,4.0834,3.0000,8.0000,0.48977,0.40,0.60,FuuA,58.26343,38.05288,8.73951,He3,K+
7,11,0.325,0.25,0.70,0.58910,0.501,0.40,0.60,3.9536,3.0000,8.0000,0.73106,0.60,1.60,FuuA,22.08670,56.48390,3.31300,He3,K+
