i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,22.0,0.142,0.00,0.25,0.63763,0.321,0.30,0.35,3.7276,2.0000,4.0000,0.33971,0.00,0.40,FuuA,1539.73952,85.28931,153.97395,He3,pi+
1,22.0,0.132,0.00,0.25,0.66540,0.321,0.30,0.35,3.5945,2.0000,4.0000,0.42359,0.40,0.45,FuuA,1127.40925,88.58793,112.74092,He3,pi+
2,22.0,0.125,0.00,0.25,0.68336,0.321,0.30,0.35,3.5020,2.0000,4.0000,0.47739,0.45,0.50,FuuA,890.09131,75.61389,89.00913,He3,pi+
3,22.0,0.119,0.00,0.25,0.70039,0.322,0.30,0.35,3.4118,2.0000,4.0000,0.52759,0.50,0.55,FuuA,694.33345,72.95390,69.43335,He3,pi+
4,22.0,0.113,0.00,0.25,0.71748,0.322,0.30,0.35,3.3194,2.0000,4.0000,0.57692,0.55,0.60,FuuA,531.53041,65.19547,53.15304,He3,pi+
5,22.0,0.106,0.00,0.25,0.74186,0.322,0.30,0.35,3.1964,2.0000,4.0000,0.65289,0.60,0.70,FuuA,335.14122,45.33502,33.51412,He3,pi+
6,22.0,0.099,0.00,0.25,0.76787,0.323,0.30,0.35,3.0775,2.0000,4.0000,0.75168,0.70,0.80,FuuA,162.59896,50.08612,16.25990,He3,pi+
7,22.0,0.092,0.00,0.25,0.79211,0.324,0.30,0.35,2.9585,2.0000,4.0000,0.91968,0.80,1.60,FuuA,47.09182,46.45443,4.70918,He3,pi+
8,22.0,0.148,0.00,0.25,0.62151,0.370,0.35,0.40,3.8010,2.0000,4.0000,0.33517,0.00,0.40,FuuA,1074.89745,163.93740,107.48974,He3,pi+
9,22.0,0.139,0.00,0.25,0.64686,0.371,0.35,0.40,3.6879,2.0000,4.0000,0.42408,0.40,0.45,FuuA,791.94112,117.26308,79.19411,He3,pi+
10,22.0,0.132,0.00,0.25,0.66404,0.372,0.35,0.40,3.6038,2.0000,4.0000,0.48252,0.45,0.50,FuuA,626.09036,125.66275,62.60904,He3,pi+
11,22.0,0.127,0.00,0.25,0.67804,0.372,0.35,0.40,3.5284,2.0000,4.0000,0.53102,0.50,0.55,FuuA,504.08801,102.93137,50.40880,He3,pi+
12,22.0,0.122,0.00,0.25,0.69244,0.372,0.35,0.40,3.4546,2.0000,4.0000,0.58097,0.55,0.60,FuuA,392.56809,98.53228,39.25681,He3,pi+
13,22.0,0.115,0.00,0.25,0.71406,0.372,0.35,0.40,3.3382,2.0000,4.0000,0.65344,0.60,0.70,FuuA,264.84099,65.67766,26.48410,He3,pi+
14,22.0,0.106,0.00,0.25,0.74053,0.373,0.35,0.40,3.1981,2.0000,4.0000,0.74796,0.70,0.80,FuuA,145.48492,66.24555,14.54849,He3,pi+
15,22.0,0.097,0.00,0.25,0.77588,0.374,0.35,0.40,3.0348,2.0000,4.0000,0.93586,0.80,1.60,FuuA,43.77384,50.73295,4.37738,He3,pi+
16,22.0,0.150,0.00,0.25,0.61647,0.434,0.40,0.50,3.8206,2.0000,4.0000,0.37182,0.00,0.40,FuuA,615.17759,169.38900,61.51776,He3,pi+
17,22.0,0.144,0.00,0.25,0.63327,0.437,0.40,0.50,3.7482,2.0000,4.0000,0.44262,0.40,0.45,FuuA,483.44718,182.62860,48.34472,He3,pi+
18,22.0,0.140,0.00,0.25,0.64328,0.438,0.40,0.50,3.7029,2.0000,4.0000,0.48333,0.45,0.50,FuuA,416.07060,165.88440,41.60706,He3,pi+
19,22.0,0.136,0.00,0.25,0.65421,0.438,0.40,0.50,3.6494,2.0000,4.0000,0.52875,0.50,0.55,FuuA,347.55185,124.25326,34.75519,He3,pi+
20,22.0,0.131,0.00,0.25,0.66571,0.439,0.40,0.50,3.5929,2.0000,4.0000,0.57680,0.55,0.60,FuuA,281.75066,118.64023,28.17507,He3,pi+
