i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,22.0,0.149,0.00,0.25,0.62022,0.320,0.30,0.35,3.8064,2.0000,4.0000,0.28629,0.25,0.30,FuuA,1337.61231,180.68160,133.76123,He3,pi-
1,22.0,0.142,0.00,0.25,0.63850,0.321,0.30,0.35,3.7225,2.0000,4.0000,0.34142,0.30,0.35,FuuA,1134.46749,191.19540,113.44675,He3,pi-
2,22.0,0.136,0.00,0.25,0.65307,0.321,0.30,0.35,3.6561,2.0000,4.0000,0.38509,0.35,0.40,FuuA,975.52078,123.74085,97.55208,He3,pi-
3,22.0,0.131,0.00,0.25,0.66745,0.321,0.30,0.35,3.5839,2.0000,4.0000,0.42846,0.40,0.45,FuuA,824.66490,121.29029,82.46649,He3,pi-
4,22.0,0.125,0.00,0.25,0.68351,0.321,0.30,0.35,3.4995,2.0000,4.0000,0.47583,0.45,0.50,FuuA,673.39150,85.94429,67.33915,He3,pi-
5,22.0,0.119,0.00,0.25,0.70072,0.321,0.30,0.35,3.4064,2.0000,4.0000,0.52599,0.50,0.55,FuuA,529.76934,85.54813,52.97693,He3,pi-
6,22.0,0.114,0.00,0.25,0.71675,0.321,0.30,0.35,3.3182,2.0000,4.0000,0.57277,0.55,0.60,FuuA,414.06883,77.63829,41.40688,He3,pi-
7,22.0,0.106,0.00,0.25,0.74220,0.322,0.30,0.35,3.1902,2.0000,4.0000,0.65001,0.60,0.70,FuuA,262.23437,50.50954,26.22344,He3,pi-
8,22.0,0.098,0.00,0.25,0.76955,0.323,0.30,0.35,3.0636,2.0000,4.0000,0.75034,0.70,0.80,FuuA,127.16655,57.51641,12.71666,He3,pi-
9,22.0,0.092,0.00,0.25,0.79331,0.324,0.30,0.35,2.9461,2.0000,4.0000,0.91827,0.80,1.60,FuuA,37.18593,52.31694,3.71859,He3,pi-
10,22.0,0.147,0.00,0.25,0.62428,0.371,0.35,0.40,3.7869,2.0000,4.0000,0.34604,0.30,0.35,FuuA,737.69440,175.23000,73.76944,He3,pi-
11,22.0,0.139,0.00,0.25,0.64600,0.371,0.35,0.40,3.6898,2.0000,4.0000,0.42203,0.40,0.45,FuuA,571.78407,172.50420,57.17841,He3,pi-
12,22.0,0.133,0.00,0.25,0.66269,0.372,0.35,0.40,3.6103,2.0000,4.0000,0.47896,0.45,0.50,FuuA,457.05946,127.13809,45.70595,He3,pi-
13,22.0,0.126,0.00,0.25,0.67972,0.372,0.35,0.40,3.5195,2.0000,4.0000,0.53533,0.50,0.55,FuuA,357.62332,119.39679,35.76233,He3,pi-
14,22.0,0.121,0.00,0.25,0.69424,0.372,0.35,0.40,3.4421,2.0000,4.0000,0.58348,0.55,0.60,FuuA,282.94113,119.30951,28.29411,He3,pi-
15,22.0,0.114,0.00,0.25,0.71508,0.372,0.35,0.40,3.3244,2.0000,4.0000,0.65438,0.60,0.70,FuuA,194.29951,76.77345,19.42995,He3,pi-
16,22.0,0.106,0.00,0.25,0.74194,0.372,0.35,0.40,3.1846,2.0000,4.0000,0.75040,0.70,0.80,FuuA,106.41416,76.20283,10.64142,He3,pi-
17,22.0,0.096,0.00,0.25,0.77824,0.374,0.35,0.40,3.0157,2.0000,4.0000,0.93953,0.80,1.60,FuuA,31.86337,59.19010,3.18634,He3,pi-
18,22.0,0.148,0.00,0.25,0.62201,0.434,0.40,0.50,3.7969,2.0000,4.0000,0.39323,0.35,0.40,FuuA,393.26393,168.22080,39.32639,He3,pi-
19,22.0,0.140,0.00,0.25,0.64189,0.437,0.40,0.50,3.7080,2.0000,4.0000,0.47700,0.45,0.50,FuuA,293.33750,171.72540,29.33375,He3,pi-
20,22.0,0.136,0.00,0.25,0.65283,0.437,0.40,0.50,3.6544,2.0000,4.0000,0.52332,0.50,0.55,FuuA,245.15048,175.23000,24.51505,He3,pi-
21,22.0,0.132,0.00,0.25,0.66497,0.438,0.40,0.50,3.5939,2.0000,4.0000,0.57269,0.55,0.60,FuuA,199.12485,127.42876,19.91248,He3,pi-
22,22.0,0.125,0.00,0.25,0.68398,0.439,0.40,0.50,3.4946,2.0000,4.0000,0.64968,0.60,0.70,FuuA,139.22059,89.68219,13.92206,He3,pi-
23,22.0,0.116,0.00,0.25,0.70967,0.440,0.40,0.50,3.3538,2.0000,4.0000,0.75253,0.70,0.80,FuuA,80.49457,77.44455,8.04946,He3,pi-
24,22.0,0.102,0.00,0.25,0.75683,0.445,0.40,0.50,3.1132,2.0000,4.0000,0.98346,0.80,1.60,FuuA,23.13311,52.46578,2.31331,He3,pi-
25,22.0,0.146,0.00,0.25,0.62798,0.537,0.50,0.60,3.7714,2.0000,4.0000,0.51846,0.50,0.55,FuuA,130.57618,175.61940,13.05762,He3,pi-
26,22.0,0.136,0.00,0.25,0.65416,0.540,0.50,0.60,3.6474,2.0000,4.0000,0.65025,0.60,0.70,FuuA,80.67806,172.11480,8.06781,He3,pi-
27,22.0,0.130,0.00,0.25,0.67023,0.541,0.50,0.60,3.5648,2.0000,4.0000,0.73238,0.70,0.80,FuuA,56.71950,174.06180,5.67195,He3,pi-
