i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.139,0.00,0.25,0.48409,0.323,0.30,0.35,1.3670,1.0000,1.5000,0.06952,0.00,0.10,FuuA,11620.95299,42.58296,1162.09530,He3,pi+
1,11,0.125,0.00,0.25,0.52409,0.323,0.30,0.35,1.3246,1.0000,1.5000,0.12735,0.10,0.15,FuuA,10892.14205,35.17026,1089.21421,He3,pi+
2,11,0.116,0.00,0.25,0.55617,0.323,0.30,0.35,1.2982,1.0000,1.5000,0.17569,0.15,0.20,FuuA,9939.31871,27.14186,993.93187,He3,pi+
3,11,0.108,0.00,0.25,0.58839,0.323,0.30,0.35,1.2781,1.0000,1.5000,0.22572,0.20,0.25,FuuA,8742.23911,22.85868,874.22391,He3,pi+
4,11,0.102,0.00,0.25,0.61874,0.323,0.30,0.35,1.2631,1.0000,1.5000,0.27573,0.25,0.30,FuuA,7458.00379,20.83618,745.80038,He3,pi+
5,11,0.097,0.00,0.25,0.64378,0.323,0.30,0.35,1.2516,1.0000,1.5000,0.32552,0.30,0.35,FuuA,6206.52144,19.78942,620.65214,He3,pi+
6,11,0.094,0.00,0.25,0.66157,0.324,0.30,0.35,1.2447,1.0000,1.5000,0.37522,0.35,0.40,FuuA,5044.54364,19.99980,504.45436,He3,pi+
7,11,0.092,0.00,0.25,0.67384,0.324,0.30,0.35,1.2408,1.0000,1.5000,0.42476,0.40,0.45,FuuA,4001.03751,20.64578,400.10375,He3,pi+
8,11,0.092,0.00,0.25,0.68032,0.324,0.30,0.35,1.2382,1.0000,1.5000,0.47427,0.45,0.50,FuuA,3099.54456,21.80770,309.95446,He3,pi+
9,11,0.091,0.00,0.25,0.68452,0.324,0.30,0.35,1.2365,1.0000,1.5000,0.52420,0.50,0.55,FuuA,2332.56934,22.58605,233.25693,He3,pi+
10,11,0.090,0.00,0.25,0.69238,0.325,0.30,0.35,1.2356,1.0000,1.5000,0.57440,0.55,0.60,FuuA,1694.33722,25.74246,169.43372,He3,pi+
11,11,0.088,0.00,0.25,0.70428,0.326,0.30,0.35,1.2314,1.0000,1.5000,0.64345,0.60,0.70,FuuA,1064.80959,24.62150,106.48096,He3,pi+
12,11,0.082,0.00,0.25,0.73654,0.328,0.30,0.35,1.2254,1.0000,1.5000,0.74046,0.70,0.80,FuuA,498.31420,46.35967,49.83142,He3,pi+
13,11,0.077,0.00,0.25,0.78127,0.333,0.30,0.35,1.2235,1.0000,1.5000,0.83656,0.80,1.60,FuuA,211.06426,107.20771,21.10643,He3,pi+
14,11,0.141,0.00,0.25,0.47985,0.373,0.35,0.40,1.3719,1.0000,1.5000,0.07030,0.00,0.10,FuuA,7923.52196,50.52334,792.35220,He3,pi+
15,11,0.128,0.00,0.25,0.51386,0.373,0.35,0.40,1.3336,1.0000,1.5000,0.12893,0.10,0.15,FuuA,7482.63246,43.35271,748.26325,He3,pi+
16,11,0.120,0.00,0.25,0.54193,0.373,0.35,0.40,1.3083,1.0000,1.5000,0.17728,0.15,0.20,FuuA,6906.77645,33.68732,690.67764,He3,pi+
17,11,0.113,0.00,0.25,0.56922,0.373,0.35,0.40,1.2885,1.0000,1.5000,0.22620,0.20,0.25,FuuA,6189.34554,29.06428,618.93455,He3,pi+
18,11,0.106,0.00,0.25,0.59610,0.373,0.35,0.40,1.2735,1.0000,1.5000,0.27520,0.25,0.30,FuuA,5393.33414,25.85869,539.33341,He3,pi+
19,11,0.101,0.00,0.25,0.62165,0.373,0.35,0.40,1.2610,1.0000,1.5000,0.32518,0.30,0.35,FuuA,4568.78128,23.96313,456.87813,He3,pi+
20,11,0.097,0.00,0.25,0.64280,0.374,0.35,0.40,1.2511,1.0000,1.5000,0.37486,0.35,0.40,FuuA,3787.84976,23.77591,378.78498,He3,pi+
21,11,0.095,0.00,0.25,0.65880,0.374,0.35,0.40,1.2451,1.0000,1.5000,0.42438,0.40,0.45,FuuA,3071.87031,23.89744,307.18703,He3,pi+
22,11,0.093,0.00,0.25,0.67034,0.374,0.35,0.40,1.2414,1.0000,1.5000,0.47414,0.45,0.50,FuuA,2432.96045,25.14561,243.29605,He3,pi+
23,11,0.092,0.00,0.25,0.67799,0.374,0.35,0.40,1.2386,1.0000,1.5000,0.52433,0.50,0.55,FuuA,1880.67819,26.35168,188.06782,He3,pi+
24,11,0.092,0.00,0.25,0.68083,0.374,0.35,0.40,1.2368,1.0000,1.5000,0.57498,0.55,0.60,FuuA,1417.78629,28.35615,141.77863,He3,pi+
25,11,0.090,0.00,0.25,0.68959,0.375,0.35,0.40,1.2353,1.0000,1.5000,0.64577,0.60,0.70,FuuA,919.49106,23.52107,91.94911,He3,pi+
26,11,0.088,0.00,0.25,0.70313,0.376,0.35,0.40,1.2309,1.0000,1.5000,0.74054,0.70,0.80,FuuA,473.49975,35.42824,47.34998,He3,pi+
27,11,0.082,0.00,0.25,0.73732,0.379,0.35,0.40,1.2252,1.0000,1.5000,0.85385,0.80,1.60,FuuA,200.71814,53.53709,20.07181,He3,pi+
28,11,0.142,0.00,0.25,0.47559,0.423,0.40,0.45,1.3765,1.0000,1.5000,0.06923,0.00,0.10,FuuA,5507.54227,61.44702,550.75423,He3,pi+
29,11,0.132,0.00,0.25,0.50317,0.423,0.40,0.45,1.3444,1.0000,1.5000,0.12621,0.10,0.15,FuuA,5251.68769,55.62423,525.16877,He3,pi+
30,11,0.124,0.00,0.25,0.52873,0.423,0.40,0.45,1.3188,1.0000,1.5000,0.17508,0.15,0.20,FuuA,4903.25216,40.77384,490.32522,He3,pi+
31,11,0.116,0.00,0.25,0.55374,0.423,0.40,0.45,1.2986,1.0000,1.5000,0.22508,0.20,0.25,FuuA,4451.66889,36.11999,445.16689,He3,pi+
32,11,0.110,0.00,0.25,0.57787,0.423,0.40,0.45,1.2825,1.0000,1.5000,0.27499,0.25,0.30,FuuA,3939.26299,31.10926,393.92630,He3,pi+
33,11,0.105,0.00,0.25,0.60160,0.423,0.40,0.45,1.2702,1.0000,1.5000,0.32491,0.30,0.35,FuuA,3398.60767,29.77080,339.86077,He3,pi+
34,11,0.101,0.00,0.25,0.62408,0.423,0.40,0.45,1.2591,1.0000,1.5000,0.37532,0.35,0.40,FuuA,2864.73692,27.46457,286.47369,He3,pi+
35,11,0.097,0.00,0.25,0.64304,0.424,0.40,0.45,1.2506,1.0000,1.5000,0.42596,0.40,0.45,FuuA,2360.05667,28.21508,236.00567,He3,pi+
36,11,0.095,0.00,0.25,0.65711,0.424,0.40,0.45,1.2450,1.0000,1.5000,0.47465,0.45,0.50,FuuA,1921.85581,29.15993,192.18558,He3,pi+
37,11,0.093,0.00,0.25,0.66803,0.424,0.40,0.45,1.2415,1.0000,1.5000,0.52419,0.50,0.55,FuuA,1528.05916,29.88742,152.80592,He3,pi+
38,11,0.092,0.00,0.25,0.67594,0.424,0.40,0.45,1.2392,1.0000,1.5000,0.57517,0.55,0.60,FuuA,1181.21736,31.92392,118.12174,He3,pi+
39,11,0.092,0.00,0.25,0.68065,0.424,0.40,0.45,1.2364,1.0000,1.5000,0.64826,0.60,0.70,FuuA,793.86956,25.69396,79.38696,He3,pi+
40,11,0.090,0.00,0.25,0.69118,0.425,0.40,0.45,1.2346,1.0000,1.5000,0.74635,0.70,0.80,FuuA,428.10980,31.56135,42.81098,He3,pi+
41,11,0.086,0.00,0.25,0.71382,0.427,0.40,0.45,1.2285,1.0000,1.5000,0.88185,0.80,1.60,FuuA,172.33735,41.24884,17.23373,He3,pi+
42,11,0.143,0.00,0.25,0.47351,0.474,0.45,0.50,1.3786,1.0000,1.5000,0.07213,0.00,0.10,FuuA,3847.09996,70.27913,384.71000,He3,pi+
43,11,0.134,0.00,0.25,0.49642,0.473,0.45,0.50,1.3511,1.0000,1.5000,0.12793,0.10,0.15,FuuA,3689.19027,70.66396,368.91903,He3,pi+
44,11,0.127,0.00,0.25,0.51916,0.473,0.45,0.50,1.3275,1.0000,1.5000,0.17530,0.15,0.20,FuuA,3480.21223,49.36480,348.02122,He3,pi+
45,11,0.120,0.00,0.25,0.54256,0.473,0.45,0.50,1.3066,1.0000,1.5000,0.22711,0.20,0.25,FuuA,3187.74272,42.88104,318.77427,He3,pi+
46,11,0.114,0.00,0.25,0.56377,0.473,0.45,0.50,1.2913,1.0000,1.5000,0.27568,0.25,0.30,FuuA,2869.48558,39.73667,286.94856,He3,pi+
47,11,0.109,0.00,0.25,0.58519,0.473,0.45,0.50,1.2780,1.0000,1.5000,0.32540,0.30,0.35,FuuA,2522.05593,34.62700,252.20559,He3,pi+
48,11,0.104,0.00,0.25,0.60683,0.474,0.45,0.50,1.2668,1.0000,1.5000,0.37624,0.35,0.40,FuuA,2160.77198,33.84876,216.07720,He3,pi+
49,11,0.100,0.00,0.25,0.62635,0.474,0.45,0.50,1.2576,1.0000,1.5000,0.42593,0.40,0.45,FuuA,1821.48835,32.86741,182.14884,He3,pi+
50,11,0.097,0.00,0.25,0.64255,0.474,0.45,0.50,1.2501,1.0000,1.5000,0.47528,0.45,0.50,FuuA,1510.37554,33.53813,151.03755,He3,pi+
51,11,0.095,0.00,0.25,0.65555,0.474,0.45,0.50,1.2453,1.0000,1.5000,0.52365,0.50,0.55,FuuA,1234.39899,34.85228,123.43990,He3,pi+
52,11,0.094,0.00,0.25,0.66583,0.474,0.45,0.50,1.2417,1.0000,1.5000,0.57374,0.55,0.60,FuuA,984.83377,35.16981,98.48338,He3,pi+
53,11,0.092,0.00,0.25,0.67593,0.474,0.45,0.50,1.2384,1.0000,1.5000,0.64809,0.60,0.70,FuuA,683.75514,28.34645,68.37551,He3,pi+
54,11,0.091,0.00,0.25,0.68146,0.474,0.45,0.50,1.2353,1.0000,1.5000,0.74654,0.70,0.80,FuuA,393.96436,33.93246,39.39644,He3,pi+
55,11,0.088,0.00,0.25,0.70075,0.476,0.45,0.50,1.2312,1.0000,1.5000,0.89633,0.80,1.60,FuuA,163.57521,33.54275,16.35752,He3,pi+
56,11,0.145,0.00,0.25,0.46973,0.524,0.50,0.55,1.3829,1.0000,1.5000,0.06912,0.00,0.10,FuuA,2737.32593,87.42247,273.73259,He3,pi+
57,11,0.137,0.00,0.25,0.48854,0.523,0.50,0.55,1.3606,1.0000,1.5000,0.12403,0.10,0.15,FuuA,2640.79739,86.39464,264.07974,He3,pi+
58,11,0.130,0.00,0.25,0.50954,0.523,0.50,0.55,1.3367,1.0000,1.5000,0.17173,0.15,0.20,FuuA,2513.92280,60.66980,251.39228,He3,pi+
59,11,0.123,0.00,0.25,0.53223,0.523,0.50,0.55,1.3149,1.0000,1.5000,0.22567,0.20,0.25,FuuA,2324.52325,50.19644,232.45232,He3,pi+
60,11,0.117,0.00,0.25,0.55304,0.523,0.50,0.55,1.2981,1.0000,1.5000,0.27765,0.25,0.30,FuuA,2105.55202,46.27634,210.55520,He3,pi+
61,11,0.112,0.00,0.25,0.57251,0.524,0.50,0.55,1.2849,1.0000,1.5000,0.32697,0.30,0.35,FuuA,1879.08342,43.01496,187.90834,He3,pi+
62,11,0.107,0.00,0.25,0.59140,0.524,0.50,0.55,1.2741,1.0000,1.5000,0.37555,0.35,0.40,FuuA,1648.41100,40.81677,164.84110,He3,pi+
