i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.362,0.25,0.70,0.54545,0.344,0.30,0.40,4.0629,3.0000,8.0000,0.12358,0.00,0.20,FuuA,590.17748,20.02924,59.01775,He3,pi-
1,11,0.360,0.25,0.70,0.54836,0.346,0.30,0.40,4.0382,3.0000,8.0000,0.28866,0.20,0.40,FuuA,398.94960,19.65241,39.89496,He3,pi-
2,11,0.361,0.25,0.70,0.54650,0.346,0.30,0.40,4.0441,3.0000,8.0000,0.48568,0.40,0.60,FuuA,177.90432,29.36057,17.79043,He3,pi-
3,11,0.349,0.25,0.70,0.55766,0.348,0.30,0.40,4.0050,3.0000,8.0000,0.69328,0.60,1.60,FuuA,54.77250,44.29299,5.47725,He3,pi-
4,11,0.358,0.25,0.70,0.54550,0.475,0.40,0.60,4.0269,3.0000,8.0000,0.13016,0.00,0.20,FuuA,209.35048,24.29018,20.93505,He3,pi-
5,11,0.361,0.25,0.70,0.54593,0.480,0.40,0.60,4.0396,3.0000,8.0000,0.29214,0.20,0.40,FuuA,144.59922,20.72779,14.45992,He3,pi-
6,11,0.355,0.25,0.70,0.55257,0.484,0.40,0.60,4.0300,3.0000,8.0000,0.48480,0.40,0.60,FuuA,79.38487,28.45390,7.93849,He3,pi-
7,11,0.334,0.25,0.70,0.57295,0.483,0.40,0.60,3.9394,3.0000,8.0000,0.72709,0.60,1.60,FuuA,28.34052,42.19919,2.83405,He3,pi-
