i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.137,0.00,0.25,0.48868,0.326,0.30,0.35,1.3618,1.0000,1.5000,0.06993,0.00,0.10,FuuA,3336.80506,115.21815,500.52076,He3,K+
1,11,0.123,0.00,0.25,0.52976,0.326,0.30,0.35,1.3187,1.0000,1.5000,0.12753,0.10,0.15,FuuA,3105.92946,92.46847,465.88942,He3,K+
2,11,0.114,0.00,0.25,0.56280,0.326,0.30,0.35,1.2921,1.0000,1.5000,0.17582,0.15,0.20,FuuA,2816.35919,70.07423,422.45388,He3,K+
3,11,0.106,0.00,0.25,0.59534,0.326,0.30,0.35,1.2727,1.0000,1.5000,0.22585,0.20,0.25,FuuA,2464.88770,58.16942,369.73315,He3,K+
4,11,0.100,0.00,0.25,0.62601,0.326,0.30,0.35,1.2582,1.0000,1.5000,0.27584,0.25,0.30,FuuA,2095.53341,52.22272,314.33001,He3,K+
5,11,0.096,0.00,0.25,0.65106,0.326,0.30,0.35,1.2472,1.0000,1.5000,0.32564,0.30,0.35,FuuA,1742.75307,48.92406,261.41296,He3,K+
6,11,0.093,0.00,0.25,0.66888,0.326,0.30,0.35,1.2404,1.0000,1.5000,0.37534,0.35,0.40,FuuA,1417.18860,48.74260,212.57829,He3,K+
7,11,0.091,0.00,0.25,0.68075,0.326,0.30,0.35,1.2365,1.0000,1.5000,0.42488,0.40,0.45,FuuA,1125.01717,49.62861,168.75257,He3,K+
8,11,0.090,0.00,0.25,0.68611,0.326,0.30,0.35,1.2342,1.0000,1.5000,0.47436,0.45,0.50,FuuA,872.20999,51.70411,130.83150,He3,K+
9,11,0.090,0.00,0.25,0.69194,0.327,0.30,0.35,1.2321,1.0000,1.5000,0.52428,0.50,0.55,FuuA,658.48467,53.02737,98.77270,He3,K+
10,11,0.088,0.00,0.25,0.70156,0.328,0.30,0.35,1.2304,1.0000,1.5000,0.57447,0.55,0.60,FuuA,483.40092,59.90160,72.51014,He3,K+
11,11,0.085,0.00,0.25,0.71541,0.329,0.30,0.35,1.2254,1.0000,1.5000,0.64387,0.60,0.70,FuuA,306.17281,56.41678,45.92592,He3,K+
12,11,0.081,0.00,0.25,0.74650,0.331,0.30,0.35,1.2212,1.0000,1.5000,0.74082,0.70,0.80,FuuA,144.74905,103.58302,21.71236,He3,K+
13,11,0.075,0.00,0.25,0.78922,0.335,0.30,0.35,1.2185,1.0000,1.5000,0.83716,0.80,1.60,FuuA,61.75398,229.85916,9.26310,He3,K+
14,11,0.140,0.00,0.25,0.48299,0.374,0.35,0.40,1.3685,1.0000,1.5000,0.07072,0.00,0.10,FuuA,2591.50370,116.20176,388.72556,He3,K+
15,11,0.127,0.00,0.25,0.51864,0.374,0.35,0.40,1.3283,1.0000,1.5000,0.12901,0.10,0.15,FuuA,2441.94608,97.66500,366.29191,He3,K+
