i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,22.0,0.298,0.25,0.50,0.45977,0.323,0.30,0.35,5.6156,4.0000,6.0000,0.06413,0.00,0.10,FuuA,774.11214,111.69730,77.41121,He3,pi-
1,22.0,0.296,0.25,0.50,0.46354,0.323,0.30,0.35,5.6214,4.0000,6.0000,0.15372,0.10,0.20,FuuA,691.51211,68.26746,69.15121,He3,pi-
2,22.0,0.290,0.25,0.50,0.47178,0.323,0.30,0.35,5.6013,4.0000,6.0000,0.25106,0.20,0.30,FuuA,564.65924,64.10136,56.46592,He3,pi-
3,22.0,0.284,0.25,0.50,0.47957,0.324,0.30,0.35,5.5921,4.0000,6.0000,0.34778,0.30,0.40,FuuA,411.64822,66.66690,41.16482,He3,pi-
4,22.0,0.283,0.25,0.50,0.48358,0.324,0.30,0.35,5.6060,4.0000,6.0000,0.47874,0.40,0.60,FuuA,226.73308,67.22130,22.67331,He3,pi-
5,22.0,0.285,0.25,0.50,0.48078,0.325,0.30,0.35,5.6060,4.0000,6.0000,0.66137,0.60,0.80,FuuA,71.22850,127.82545,7.12285,He3,pi-
6,22.0,0.286,0.25,0.50,0.47876,0.325,0.30,0.35,5.6026,4.0000,6.0000,0.87166,0.80,1.60,FuuA,11.73025,222.69068,1.17302,He3,pi-
7,22.0,0.298,0.25,0.50,0.46022,0.373,0.35,0.40,5.6159,4.0000,6.0000,0.06885,0.00,0.10,FuuA,483.35574,130.45784,48.33557,He3,pi-
8,22.0,0.297,0.25,0.50,0.46221,0.373,0.35,0.40,5.6240,4.0000,6.0000,0.15250,0.10,0.20,FuuA,438.31816,91.26506,43.83182,He3,pi-
9,22.0,0.292,0.25,0.50,0.46889,0.373,0.35,0.40,5.6088,4.0000,6.0000,0.24802,0.20,0.30,FuuA,366.51824,75.00335,36.65182,He3,pi-
10,22.0,0.286,0.25,0.50,0.47641,0.374,0.35,0.40,5.5931,4.0000,6.0000,0.34860,0.30,0.40,FuuA,275.33033,78.47714,27.53303,He3,pi-
11,22.0,0.283,0.25,0.50,0.48302,0.374,0.35,0.40,5.5997,4.0000,6.0000,0.48732,0.40,0.60,FuuA,156.73090,70.96020,15.67309,He3,pi-
12,22.0,0.284,0.25,0.50,0.48170,0.375,0.35,0.40,5.6075,4.0000,6.0000,0.70828,0.60,0.80,FuuA,43.67689,128.82079,4.36769,He3,pi-
13,22.0,0.286,0.25,0.50,0.47859,0.375,0.35,0.40,5.6034,4.0000,6.0000,0.99743,0.80,1.60,FuuA,3.36077,380.44380,0.33608,He3,pi-
14,22.0,0.298,0.25,0.50,0.46004,0.443,0.40,0.50,5.6103,4.0000,6.0000,0.06698,0.00,0.10,FuuA,259.85739,129.62712,25.98574,He3,pi-
15,22.0,0.298,0.25,0.50,0.46130,0.443,0.40,0.50,5.6228,4.0000,6.0000,0.15175,0.10,0.20,FuuA,237.65896,85.44108,23.76590,He3,pi-
16,22.0,0.295,0.25,0.50,0.46573,0.443,0.40,0.50,5.6153,4.0000,6.0000,0.24772,0.20,0.30,FuuA,202.75624,70.97110,20.27562,He3,pi-
17,22.0,0.289,0.25,0.50,0.47231,0.444,0.40,0.50,5.5991,4.0000,6.0000,0.34857,0.30,0.40,FuuA,158.50875,70.52402,15.85087,He3,pi-
18,22.0,0.284,0.25,0.50,0.48005,0.446,0.40,0.50,5.5927,4.0000,6.0000,0.48991,0.40,0.60,FuuA,96.64935,59.60939,9.66493,He3,pi-
19,22.0,0.283,0.25,0.50,0.48363,0.449,0.40,0.50,5.6069,4.0000,6.0000,0.68276,0.60,0.80,FuuA,36.80977,99.58683,3.68098,He3,pi-
20,22.0,0.284,0.25,0.50,0.48099,0.451,0.40,0.50,5.6040,4.0000,6.0000,0.92198,0.80,1.60,FuuA,8.27773,171.51538,0.82777,He3,pi-
21,22.0,0.297,0.25,0.50,0.46051,0.543,0.50,0.60,5.6034,4.0000,6.0000,0.05924,0.00,0.10,FuuA,110.28726,222.73680,11.02873,He3,pi-
22,22.0,0.298,0.25,0.50,0.46054,0.543,0.50,0.60,5.6197,4.0000,6.0000,0.14308,0.10,0.20,FuuA,102.33585,129.00762,10.23359,He3,pi-
23,22.0,0.297,0.25,0.50,0.46323,0.544,0.50,0.60,5.6203,4.0000,6.0000,0.24653,0.20,0.30,FuuA,89.23170,100.00691,8.92317,He3,pi-
24,22.0,0.292,0.25,0.50,0.46847,0.544,0.50,0.60,5.6083,4.0000,6.0000,0.35343,0.30,0.40,FuuA,72.36598,100.30045,7.23660,He3,pi-
25,22.0,0.287,0.25,0.50,0.47584,0.545,0.50,0.60,5.5926,4.0000,6.0000,0.49785,0.40,0.60,FuuA,48.34445,79.46580,4.83444,He3,pi-
