i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
35,11,0.292,0.25,0.50,0.46121,0.343,0.30,0.40,2.7499,2.5000,3.0000,0.06564,0.00,0.10,FuuA,2337.13722,41.08234,233.71372,He3,pi+
36,11,0.301,0.25,0.50,0.44931,0.346,0.30,0.40,2.7517,2.5000,3.0000,0.15013,0.10,0.20,FuuA,2042.76488,29.08588,204.27649,He3,pi+
37,11,0.304,0.25,0.50,0.44537,0.346,0.30,0.40,2.7520,2.5000,3.0000,0.24724,0.20,0.30,FuuA,1654.84932,32.95297,165.48493,He3,pi+
38,11,0.302,0.25,0.50,0.44712,0.348,0.30,0.40,2.7511,2.5000,3.0000,0.34769,0.30,0.40,FuuA,1188.78278,38.12121,118.87828,He3,pi+
39,11,0.303,0.25,0.50,0.44613,0.345,0.30,0.40,2.7484,2.5000,3.0000,0.49201,0.40,0.60,FuuA,643.54446,34.55455,64.35445,He3,pi+
40,11,0.292,0.25,0.50,0.46136,0.353,0.30,0.40,2.7566,2.5000,3.0000,0.67755,0.60,0.80,FuuA,203.41822,58.45180,20.34182,He3,pi+
41,11,0.270,0.25,0.50,0.50495,0.382,0.30,0.40,2.8093,2.5000,3.0000,0.88442,0.80,1.60,FuuA,34.54243,434.95980,3.45424,He3,pi+
42,11,0.289,0.25,0.50,0.46463,0.445,0.40,0.50,2.7500,2.5000,3.0000,0.06635,0.00,0.10,FuuA,1058.87600,59.80841,105.88760,He3,pi+
43,11,0.297,0.25,0.50,0.45436,0.444,0.40,0.50,2.7508,2.5000,3.0000,0.15422,0.10,0.20,FuuA,968.38287,38.13111,96.83829,He3,pi+
44,11,0.304,0.25,0.50,0.44456,0.447,0.40,0.50,2.7514,2.5000,3.0000,0.24991,0.20,0.30,FuuA,796.23606,40.82164,79.62361,He3,pi+
45,11,0.304,0.25,0.50,0.44556,0.447,0.40,0.50,2.7513,2.5000,3.0000,0.34420,0.30,0.40,FuuA,631.43877,47.52031,63.14388,He3,pi+
46,11,0.302,0.25,0.50,0.44797,0.446,0.40,0.50,2.7507,2.5000,3.0000,0.47923,0.40,0.60,FuuA,397.97694,42.35735,39.79769,He3,pi+
47,11,0.289,0.25,0.50,0.46503,0.449,0.40,0.50,2.7520,2.5000,3.0000,0.68116,0.60,0.80,FuuA,150.62647,64.51287,15.06265,He3,pi+
48,11,0.272,0.25,0.50,0.49706,0.439,0.40,0.50,2.7780,2.5000,3.0000,0.87745,0.80,1.60,FuuA,39.93736,167.12576,3.99374,He3,pi+
49,11,0.287,0.25,0.50,0.46658,0.540,0.50,0.60,2.7491,2.5000,3.0000,0.06317,0.00,0.10,FuuA,530.04668,91.20076,53.00467,He3,pi+
50,11,0.294,0.25,0.50,0.45835,0.546,0.50,0.60,2.7501,2.5000,3.0000,0.14970,0.10,0.20,FuuA,472.90209,52.95606,47.29021,He3,pi+
51,11,0.301,0.25,0.50,0.44844,0.544,0.50,0.60,2.7507,2.5000,3.0000,0.24748,0.20,0.30,FuuA,415.70443,50.45289,41.57044,He3,pi+
52,11,0.303,0.25,0.50,0.44598,0.549,0.50,0.60,2.7507,2.5000,3.0000,0.34566,0.30,0.40,FuuA,329.25844,56.23137,32.92584,He3,pi+
53,11,0.294,0.25,0.50,0.45789,0.546,0.50,0.60,2.7526,2.5000,3.0000,0.48905,0.40,0.60,FuuA,227.72873,53.05221,22.77287,He3,pi+
54,11,0.281,0.25,0.50,0.47834,0.540,0.50,0.60,2.7596,2.5000,3.0000,0.67994,0.60,0.80,FuuA,110.21367,92.55080,11.02137,He3,pi+
55,11,0.266,0.25,0.50,0.50846,0.537,0.50,0.60,2.7913,2.5000,3.0000,0.86244,0.80,1.60,FuuA,39.90839,199.01460,3.99084,He3,pi+
