i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.267,0.25,0.50,0.33676,0.333,0.30,0.40,1.8550,1.5000,2.0000,0.06991,0.00,0.10,FuuA,1633.50392,512.72633,245.02559,He3,K-
1,11,0.270,0.25,0.50,0.33324,0.330,0.30,0.40,1.8536,1.5000,2.0000,0.14909,0.10,0.20,FuuA,1488.82175,341.07343,223.32326,He3,K-
2,11,0.270,0.25,0.50,0.33341,0.334,0.30,0.40,1.8524,1.5000,2.0000,0.25525,0.20,0.30,FuuA,1181.00483,394.46339,177.15072,He3,K-
3,11,0.270,0.25,0.50,0.33313,0.326,0.30,0.40,1.8514,1.5000,2.0000,0.36436,0.30,0.40,FuuA,805.20475,409.96703,120.78071,He3,K-
4,11,0.265,0.25,0.50,0.34289,0.334,0.30,0.40,1.8703,1.5000,2.0000,0.48328,0.40,0.60,FuuA,464.18603,475.23322,69.62790,He3,K-
5,11,0.255,0.25,0.50,0.37199,0.339,0.30,0.40,1.9569,1.5000,2.0000,0.62437,0.60,0.80,FuuA,193.28714,10043.40480,28.99307,He3,K-
6,11,0.267,0.25,0.50,0.33515,0.424,0.40,0.50,1.8433,1.5000,2.0000,0.09878,0.00,0.10,FuuA,1309.31702,816.18240,196.39755,He3,K-
7,11,0.268,0.25,0.50,0.33351,0.454,0.40,0.50,1.8409,1.5000,2.0000,0.14338,0.10,0.20,FuuA,1111.59284,524.99792,166.73893,He3,K-
8,11,0.269,0.25,0.50,0.33132,0.455,0.40,0.50,1.8396,1.5000,2.0000,0.22247,0.20,0.30,FuuA,983.77556,544.46068,147.56633,He3,K-
9,11,0.269,0.25,0.50,0.33155,0.455,0.40,0.50,1.8399,1.5000,2.0000,0.30523,0.30,0.40,FuuA,820.38653,544.92896,123.05798,He3,K-
10,11,0.265,0.25,0.50,0.34015,0.447,0.40,0.50,1.8570,1.5000,2.0000,0.44369,0.40,0.60,FuuA,535.95769,510.07104,80.39365,He3,K-
11,11,0.250,0.25,0.50,0.38638,0.426,0.40,0.50,1.9960,1.5000,2.0000,0.70456,0.60,0.80,FuuA,119.78651,91931.88840,17.96798,He3,K-
12,11,0.265,0.25,0.50,0.33742,0.551,0.50,0.60,1.8464,1.5000,2.0000,0.16128,0.10,0.20,FuuA,764.57918,373.38755,114.68688,He3,K-
13,11,0.268,0.25,0.50,0.33337,0.525,0.50,0.60,1.8400,1.5000,2.0000,0.26844,0.20,0.30,FuuA,706.73458,587.60460,106.01019,He3,K-
14,11,0.260,0.25,0.50,0.35070,0.571,0.50,0.60,1.8844,1.5000,2.0000,0.33930,0.30,0.40,FuuA,509.69355,722.33700,76.45403,He3,K-
15,11,0.262,0.25,0.50,0.34641,0.524,0.50,0.60,1.8720,1.5000,2.0000,0.40936,0.40,0.60,FuuA,483.92299,757.72678,72.58845,He3,K-
16,11,0.279,0.25,0.50,0.39931,0.325,0.30,0.40,2.2845,2.0000,2.5000,0.06569,0.00,0.10,FuuA,811.35174,252.56847,121.70276,He3,K-
17,11,0.286,0.25,0.50,0.38884,0.327,0.30,0.40,2.2786,2.0000,2.5000,0.14815,0.10,0.20,FuuA,743.10321,191.18534,111.46548,He3,K-
18,11,0.286,0.25,0.50,0.38930,0.330,0.30,0.40,2.2785,2.0000,2.5000,0.24555,0.20,0.30,FuuA,606.83675,218.15713,91.02551,He3,K-
19,11,0.285,0.25,0.50,0.38955,0.326,0.30,0.40,2.2784,2.0000,2.5000,0.34673,0.30,0.40,FuuA,428.60188,235.43962,64.29028,He3,K-
20,11,0.280,0.25,0.50,0.39637,0.327,0.30,0.40,2.2801,2.0000,2.5000,0.48920,0.40,0.60,FuuA,229.53339,209.16746,34.43001,He3,K-
21,11,0.267,0.25,0.50,0.42479,0.344,0.30,0.40,2.3365,2.0000,2.5000,0.65050,0.60,0.80,FuuA,86.85385,644.24729,13.02808,He3,K-
22,11,0.273,0.25,0.50,0.40466,0.445,0.40,0.50,2.2735,2.0000,2.5000,0.06133,0.00,0.10,FuuA,722.35927,550.43423,108.35389,He3,K-
23,11,0.281,0.25,0.50,0.39239,0.451,0.40,0.50,2.2624,2.0000,2.5000,0.14852,0.10,0.20,FuuA,655.35156,320.29372,98.30273,He3,K-
24,11,0.285,0.25,0.50,0.38641,0.452,0.40,0.50,2.2594,2.0000,2.5000,0.24641,0.20,0.30,FuuA,557.32458,328.41674,83.59869,He3,K-
25,11,0.283,0.25,0.50,0.38902,0.450,0.40,0.50,2.2611,2.0000,2.5000,0.35144,0.30,0.40,FuuA,429.26286,372.39854,64.38943,He3,K-
26,11,0.277,0.25,0.50,0.39778,0.450,0.40,0.50,2.2659,2.0000,2.5000,0.48671,0.40,0.60,FuuA,266.93117,387.11547,40.03968,He3,K-
27,11,0.266,0.25,0.50,0.42064,0.450,0.40,0.50,2.3025,2.0000,2.5000,0.66522,0.60,0.80,FuuA,109.84322,646.21611,16.47648,He3,K-
28,11,0.273,0.25,0.50,0.40482,0.556,0.50,0.60,2.2724,2.0000,2.5000,0.07904,0.00,0.10,FuuA,471.69732,448.25370,70.75460,He3,K-
29,11,0.279,0.25,0.50,0.39525,0.547,0.50,0.60,2.2634,2.0000,2.5000,0.15201,0.10,0.20,FuuA,462.47440,397.52722,69.37116,He3,K-
30,11,0.280,0.25,0.50,0.39213,0.550,0.50,0.60,2.2586,2.0000,2.5000,0.23369,0.20,0.30,FuuA,412.79744,306.25562,61.91962,He3,K-
